conv_id	turn_id	topic	head	relation	tail
mixed_1Q84_To_Kill_a_Mockingbird	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_To_Kill_a_Mockingbird	7	To Kill a Mockingbird	To Kill a Mockingbird	<UNK>	Harper Lee
mixed_1Q84_To_Kill_a_Mockingbird	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_To_Kill_a_Mockingbird	9	To Kill a Mockingbird	To Kill a Mockingbird	P166	BOOL::Yes
mixed_1Q84_The_Lord_Of_The_Rings	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Lord_Of_The_Rings	1	The Lord Of The Rings	The Lord Of The Rings	P50_reverse	The Fellowship Of The Ring
mixed_1Q84_The_Lord_Of_The_Rings	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Lord_Of_The_Rings	3	The Lord Of The Rings	The Lord Of The Rings	P50_reverse	COUNT::3
mixed_1Q84_The_Lord_Of_The_Rings	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Lord_Of_The_Rings	5	The Lord Of The Rings	The Lord Of The Rings	P50	Bloemfontein
mixed_1Q84_The_Lord_Of_The_Rings	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_The_Lord_Of_The_Rings	7	The Lord Of The Rings	The Lord Of The Rings	<UNK>	Edith Tolkien
mixed_1Q84_The_Lord_Of_The_Rings	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Lord_Of_The_Rings	9	The Lord Of The Rings	The Lord Of The Rings	P50	BOOL::No
mixed_1Q84_Foundation	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Foundation	1	Foundation	Foundation	P50	Isaac Asimov
mixed_1Q84_Foundation	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Foundation	3	Foundation	Foundation	P577	YEAR::1951
mixed_1Q84_Foundation	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Foundation	5	Foundation	Foundation	<UNK>	BOOL::Yes
mixed_1Q84_Foundation	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Foundation	7	Foundation	Foundation	<UNK>	Foundation and Empire
mixed_1Q84_Foundation	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Foundation	9	Foundation	Foundation	<UNK>	BOOL::No
mixed_1Q84_Eragon	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Eragon	1	Eragon	Eragon	P136	young adult literature;speculative fiction novel
mixed_1Q84_Eragon	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Eragon	3	Eragon	Eragon	P50	Christopher Paolini
mixed_1Q84_Eragon	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Eragon	5	Eragon	Eragon	P50	17 November 1983
mixed_1Q84_Eragon	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Eragon	7	Eragon	Eragon	<UNK>	26 August 2003
mixed_1Q84_Eragon	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Eragon	9	Eragon	Eragon	P123	Alfred A. Knopf
mixed_1Q84_Agatha_Christie	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Agatha_Christie	1	Agatha Christie	Agatha Christie	<UNK>	BOOL::No
mixed_1Q84_Agatha_Christie	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Agatha_Christie	3	Agatha Christie	Agatha Christie	<UNK>	Miss Marple
mixed_1Q84_Agatha_Christie	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Agatha_Christie	5	Agatha Christie	Agatha Christie	P50_reverse	COUNT::12
mixed_1Q84_Agatha_Christie	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Agatha_Christie	7	Agatha Christie	Agatha Christie	<UNK>	The Body in the Library
mixed_1Q84_Agatha_Christie	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Agatha_Christie	9	Agatha Christie	Agatha Christie	P27	United Kingdom
mixed_1Q84_The_Wonderful_Wizard_of_Oz	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Wonderful_Wizard_of_Oz	1	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	<UNK>	L. Frank Baum
mixed_1Q84_The_Wonderful_Wizard_of_Oz	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Wonderful_Wizard_of_Oz	3	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	<UNK>	The Wizard of Oz
mixed_1Q84_The_Wonderful_Wizard_of_Oz	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Wonderful_Wizard_of_Oz	5	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	<UNK>	Glinda the Good Witch
mixed_1Q84_The_Wonderful_Wizard_of_Oz	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_The_Wonderful_Wizard_of_Oz	7	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	P577	YEAR::1900
mixed_1Q84_The_Wonderful_Wizard_of_Oz	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Wonderful_Wizard_of_Oz	9	The Wonderful Wizard of Oz	The Wonderful Wizard of Oz	P136	children's literature
mixed_1Q84_IT	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_IT	1	IT	IT	<UNK>	IT
mixed_1Q84_IT	2	1Q84	1Q84	P27	Japan
mixed_1Q84_IT	3	IT	IT	<UNK>	Derry
mixed_1Q84_IT	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_IT	5	IT	IT	<UNK>	Bill Denbrough
mixed_1Q84_IT	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_IT	7	IT	IT	<UNK>	Eddie Kapsbrack
mixed_1Q84_IT	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_IT	9	IT	IT	<UNK>	Henry Bowers
mixed_1Q84_The_Witcher	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Witcher	1	The Witcher	The Witcher	P577	YEAR::1986
mixed_1Q84_The_Witcher	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Witcher	3	The Witcher	The Witcher	<UNK>	YEAR::2007
mixed_1Q84_The_Witcher	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Witcher	5	The Witcher	The Witcher	<UNK>	Doug Cockle
mixed_1Q84_The_Witcher	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_The_Witcher	7	The Witcher	The Witcher	<UNK>	BOOL::Yes
mixed_1Q84_The_Witcher	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Witcher	9	The Witcher	The Witcher	<UNK>	Cirilla Fiona Elen Riannon
mixed_1Q84_Watership_Down	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Watership_Down	1	Watership Down	Watership Down	<UNK>	Richard Adams
mixed_1Q84_Watership_Down	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Watership_Down	3	Watership Down	Watership Down	P577	YEAR::1972
mixed_1Q84_Watership_Down	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Watership_Down	5	Watership Down	Watership Down	<UNK>	English
mixed_1Q84_Watership_Down	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Watership_Down	7	Watership Down	Watership Down	P136	BOOL::Yes
mixed_1Q84_Watership_Down	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Watership_Down	9	Watership Down	Watership Down	P166	BOOL::Yes
mixed_1Q84_Bulgakov	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Bulgakov	1	Bulgakov	Bulgakov	P50	Mikhail Bulgakov
mixed_1Q84_Bulgakov	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Bulgakov	3	Bulgakov	Bulgakov	P577	YEAR::1891
mixed_1Q84_Bulgakov	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Bulgakov	5	Bulgakov	Bulgakov	<UNK>	BOOL::No
mixed_1Q84_Bulgakov	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Bulgakov	7	Bulgakov	Bulgakov	<UNK>	Mikhail Lermontov
mixed_1Q84_Bulgakov	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Bulgakov	9	Bulgakov	Bulgakov	<UNK>	BOOL::No
mixed_1Q84_The_Hound_of_the_Baskervilles	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Hound_of_the_Baskervilles	1	The Hound of the Baskervilles	The Hound of the Baskervilles	P50	Sir Arthur Conan Doyle
mixed_1Q84_The_Hound_of_the_Baskervilles	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Hound_of_the_Baskervilles	3	The Hound of the Baskervilles	The Hound of the Baskervilles	<UNK>	Sherlock Holmes
mixed_1Q84_The_Hound_of_the_Baskervilles	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Hound_of_the_Baskervilles	5	The Hound of the Baskervilles	The Hound of the Baskervilles	<UNK>	Dr. John Watson
mixed_1Q84_The_Hound_of_the_Baskervilles	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_The_Hound_of_the_Baskervilles	7	The Hound of the Baskervilles	The Hound of the Baskervilles	<UNK>	The Memoirs of Sherlock Holmes
mixed_1Q84_The_Hound_of_the_Baskervilles	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Hound_of_the_Baskervilles	9	The Hound of the Baskervilles	The Hound of the Baskervilles	<UNK>	The Return of Sherlock Holmes
mixed_1Q84_The_Great_Gatsby	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Great_Gatsby	1	The Great Gatsby	The Great Gatsby	<UNK>	The Great Gatsby
mixed_1Q84_The_Great_Gatsby	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Great_Gatsby	3	The Great Gatsby	The Great Gatsby	<UNK>	F. Scott Fitzgerald
mixed_1Q84_The_Great_Gatsby	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Great_Gatsby	5	The Great Gatsby	The Great Gatsby	<UNK>	BOOL::No
mixed_1Q84_The_Great_Gatsby	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_The_Great_Gatsby	7	The Great Gatsby	The Great Gatsby	P50	Zelda Fitzgerald
mixed_1Q84_The_Great_Gatsby	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Great_Gatsby	9	The Great Gatsby	The Great Gatsby	<UNK>	Frances Scott Fitzgerald
mixed_1Q84_Adventures_of_Huckleberry_Finn	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Adventures_of_Huckleberry_Finn	1	Adventures of Huckleberry Finn	Adventures of Huckleberry Finn	P50	Mark Twain
mixed_1Q84_Adventures_of_Huckleberry_Finn	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Adventures_of_Huckleberry_Finn	3	Adventures of Huckleberry Finn	Adventures of Huckleberry Finn	<UNK>	BOOL::Yes
mixed_1Q84_Adventures_of_Huckleberry_Finn	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Adventures_of_Huckleberry_Finn	5	Adventures of Huckleberry Finn	Adventures of Huckleberry Finn	<UNK>	Mississippi River
mixed_1Q84_Adventures_of_Huckleberry_Finn	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Adventures_of_Huckleberry_Finn	7	Adventures of Huckleberry Finn	Adventures of Huckleberry Finn	P123	Chatto & Windus
mixed_1Q84_Adventures_of_Huckleberry_Finn	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Adventures_of_Huckleberry_Finn	9	Adventures of Huckleberry Finn	Adventures of Huckleberry Finn	<UNK>	Huckleberry Finn
mixed_1Q84_The_Stand	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_The_Stand	1	The Stand	The Stand	P50	Stephen King
mixed_1Q84_The_Stand	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Stand	3	The Stand	The Stand	P136	post-apocalyptic;horror
mixed_1Q84_The_Stand	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Stand	5	The Stand	The Stand	P577	YEAR::1978
mixed_1Q84_The_Stand	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_The_Stand	7	The Stand	The Stand	<UNK>	Doubleday
mixed_1Q84_The_Stand	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Stand	9	The Stand	The Stand	<UNK>	Captain Trips
mixed_1Q84_Ender's_Game	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Ender's_Game	1	Ender's Game	Ender's Game	P577	YEAR::1985
mixed_1Q84_Ender's_Game	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Ender's_Game	3	Ender's Game	Ender's Game	P50	Orson Scott Card
mixed_1Q84_Ender's_Game	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Ender's_Game	5	Ender's Game	Ender's Game	P136	science fiction
mixed_1Q84_Ender's_Game	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Ender's_Game	7	Ender's Game	Ender's Game	<UNK>	BOOL::Yes
mixed_1Q84_Ender's_Game	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Ender's_Game	9	Ender's Game	Ender's Game	P50_reverse	COUNT::6
mixed_1Q84_Digital_Fortress	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Digital_Fortress	1	Digital Fortress	Digital Fortress	<UNK>	Digital Fortress
mixed_1Q84_Digital_Fortress	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Digital_Fortress	3	Digital Fortress	Digital Fortress	P577	YEAR::1998
mixed_1Q84_Digital_Fortress	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Digital_Fortress	5	Digital Fortress	Digital Fortress	<UNK>	Seville
mixed_1Q84_Digital_Fortress	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Digital_Fortress	7	Digital Fortress	Digital Fortress	<UNK>	BOOL::Yes
mixed_1Q84_Digital_Fortress	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Digital_Fortress	9	Digital Fortress	Digital Fortress	<UNK>	National Security Agency
mixed_1Q84_The_Suicide_Prince	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Suicide_Prince	1	The Suicide Prince	The Suicide Prince	<UNK>	BOOL::Yes
mixed_1Q84_The_Suicide_Prince	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Suicide_Prince	3	The Suicide Prince	The Suicide Prince	P50_reverse	Mr. Mercedes
mixed_1Q84_The_Suicide_Prince	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Suicide_Prince	5	The Suicide Prince	The Suicide Prince	P577	YEAR::2015
mixed_1Q84_The_Suicide_Prince	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_The_Suicide_Prince	7	The Suicide Prince	The Suicide Prince	P50	Portland
mixed_1Q84_The_Suicide_Prince	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Suicide_Prince	9	The Suicide Prince	The Suicide Prince	P577	BOOL::Yes
mixed_1Q84_Stephen_King	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Stephen_King	1	Stephen King	Stephen King	P577	21 September 1947
mixed_1Q84_Stephen_King	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Stephen_King	3	Stephen King	Stephen King	<UNK>	IT
mixed_1Q84_Stephen_King	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Stephen_King	5	Stephen King	Stephen King	P50_reverse	The Dark Tower: The Gunslinger
mixed_1Q84_Stephen_King	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Stephen_King	7	Stephen King	Stephen King	<UNK>	The Running Man
mixed_1Q84_Stephen_King	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Stephen_King	9	Stephen King	Stephen King	<UNK>	Charlie the Choo-Choo: From the World of The Dark Tower
mixed_1Q84_Fire_and_Fury	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Fire_and_Fury	1	Fire and Fury	Fire and Fury	P1476	Inside the Trump White House (English)
mixed_1Q84_Fire_and_Fury	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Fire_and_Fury	3	Fire and Fury	Fire and Fury	P50	Michael Wolff
mixed_1Q84_Fire_and_Fury	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Fire_and_Fury	5	Fire and Fury	Fire and Fury	<UNK>	YEAR::2018
mixed_1Q84_Fire_and_Fury	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Fire_and_Fury	7	Fire and Fury	Fire and Fury	<UNK>	Donald Trump
mixed_1Q84_Fire_and_Fury	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Fire_and_Fury	9	Fire and Fury	Fire and Fury	P50	27 August 1953
mixed_1Q84_Inferno	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Inferno	1	Inferno	Inferno	<UNK>	Dan Brown
mixed_1Q84_Inferno	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Inferno	3	Inferno	Inferno	P577	14 May 2013
mixed_1Q84_Inferno	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Inferno	5	Inferno	Inferno	<UNK>	Origin
mixed_1Q84_Inferno	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Inferno	7	Inferno	Inferno	P50	22 June 1964
mixed_1Q84_Inferno	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Inferno	9	Inferno	Inferno	<UNK>	Exeter
mixed_1Q84_Twilight	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_Twilight	1	Twilight	Twilight	<UNK>	Stephenie Meyer
mixed_1Q84_Twilight	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Twilight	3	Twilight	Twilight	P577	05 October 2005
mixed_1Q84_Twilight	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Twilight	5	Twilight	Twilight	<UNK>	Isabella "Bella" Swan
mixed_1Q84_Twilight	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Twilight	7	Twilight	Twilight	<UNK>	Edward Cullen
mixed_1Q84_Twilight	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Twilight	9	Twilight	Twilight	<UNK>	vampire
mixed_1Q84_Jaws	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Jaws	1	Jaws	Jaws	P50	Peter Benchley
mixed_1Q84_Jaws	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Jaws	3	Jaws	Jaws	P577	YEAR::1974
mixed_1Q84_Jaws	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Jaws	5	Jaws	Jaws	<UNK>	Doubleday; Bantam Books
mixed_1Q84_Jaws	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_Jaws	7	Jaws	Jaws	P136	Thriller
mixed_1Q84_Jaws	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_Jaws	9	Jaws	Jaws	<UNK>	BOOL::Yes
mixed_1Q84_The_Hobbit	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_The_Hobbit	1	The Hobbit	The Hobbit	P577	21 September 1937
mixed_1Q84_The_Hobbit	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Hobbit	3	The Hobbit	The Hobbit	P50	BOOL::Yes
mixed_1Q84_The_Hobbit	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Hobbit	5	The Hobbit	The Hobbit	<UNK>	Edith Tolkien
mixed_1Q84_The_Hobbit	6	1Q84	1Q84	P50	BOOL::Yes
mixed_1Q84_The_Hobbit	7	The Hobbit	The Hobbit	<UNK>	John Francis Reuel Tolkien
mixed_1Q84_The_Hobbit	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Hobbit	9	The Hobbit	The Hobbit	<UNK>	BOOL::Yes
mixed_1Q84_The_Shining	0	1Q84	1Q84	P50	Haruki Murakami
mixed_1Q84_The_Shining	1	The Shining	The Shining	P50	Stephen King
mixed_1Q84_The_Shining	2	1Q84	1Q84	P27	Japan
mixed_1Q84_The_Shining	3	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_1Q84_The_Shining	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_The_Shining	5	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_1Q84_The_Shining	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_The_Shining	7	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_1Q84_The_Shining	8	1Q84	1Q84	P577	YEAR::2006
mixed_1Q84_The_Shining	9	The Shining	The Shining	<UNK>	BOOL::Yes
mixed_1Q84_Great_Expectations	0	1Q84	1Q84	<UNK>	Haruki Murakami
mixed_1Q84_Great_Expectations	1	Great Expectations	Great Expectations	<UNK>	Charles Dickens
mixed_1Q84_Great_Expectations	2	1Q84	1Q84	P27	Japan
mixed_1Q84_Great_Expectations	3	Great Expectations	Great Expectations	<UNK>	BOOL::No
mixed_1Q84_Great_Expectations	4	1Q84	1Q84	P166	Kafka on the shore
mixed_1Q84_Great_Expectations	5	Great Expectations	Great Expectations	<UNK>	Chapman & Hall
mixed_1Q84_Great_Expectations	6	1Q84	1Q84	P166	BOOL::Yes
mixed_1Q84_Great_Expectations	7	Great Expectations	Great Expectations	P136	black comedy
